                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9742,                 1.5786,                 1.2767,                0.78792,                0.50868,                0.57146,                0.34012,                 0.7418,                0.89048,                 1.1003,                0.07004,              0.0033289,              0.0033289
                      2,                0.87896,                 1.1838,                 1.1744,                  0.742,                0.51682,                0.55826,                0.31944,                0.76025,                0.90503,                 1.0848,               0.036743,              0.0033644,              0.0033644
