                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75914,                0.90865,                 1.0822,                0.70588,                0.40861,                0.47842,                0.25552,                0.91715,                 1.1317,                 1.2804,              0.0075698,              0.0075698,              0.0075698
                     36,                0.75614,                0.89916,                 1.0788,                0.70429,                0.41933,                0.47849,                0.25834,                0.91007,                 1.0791,                 1.2896,              0.0074347,              0.0074347,              0.0074347
                     37,                0.76074,                0.90319,                 1.0749,                0.67853,                0.42965,                0.48209,                0.25794,                0.91158,                 1.1118,                 1.2851,              0.0072973,              0.0072973,              0.0072973
                     38,                0.74658,                0.88172,                 1.0753,                0.70833,                0.43025,                0.49911,                0.27347,                0.88269,                 1.0643,                  1.262,              0.0071576,              0.0071576,              0.0071576
                     39,                0.75194,                0.88827,                 1.0693,                0.69175,                0.43949,                0.49964,                0.26598,                0.90844,                 1.0921,                 1.2721,              0.0070159,              0.0070159,              0.0070159
                     40,                 0.7455,                0.88302,                 1.0655,                  0.668,                0.43561,                0.49329,                 0.2696,                0.87738,                 1.0729,                 1.2607,              0.0068722,              0.0068722,              0.0068722
                     41,                0.74561,                0.87628,                 1.0674,                0.68772,                0.43025,                 0.4967,                0.26779,                0.88546,                 1.0864,                 1.2544,              0.0067268,              0.0067268,              0.0067268
                     42,                0.73164,                0.85719,                 1.0645,                0.70886,                0.41783,                0.48992,                0.26636,                0.90232,                 1.0926,                 1.2788,              0.0065796,              0.0065796,              0.0065796
                     43,                0.72058,                0.84551,                  1.058,                0.72192,                0.43411,                0.50072,                0.27464,                0.88908,                 1.0694,                 1.2755,               0.006431,               0.006431,               0.006431
                     44,                0.73077,                0.85398,                  1.058,                0.71634,                0.40647,                0.48119,                0.26141,                0.91611,                 1.1385,                  1.298,               0.006281,               0.006281,               0.006281
                     45,                0.72713,                0.85086,                 1.0602,                0.69067,                 0.4368,                0.49945,                0.27934,                  0.867,                 1.0224,                  1.256,              0.0061298,              0.0061298,              0.0061298
                     46,                0.70784,                0.81989,                 1.0479,                0.69219,                0.43414,                 0.5023,                0.28123,                0.86014,                  1.027,                 1.2354,              0.0059775,              0.0059775,              0.0059775
                     47,                0.71649,                0.82238,                 1.0448,                0.71363,                0.42704,                0.49673,                0.27397,                0.87469,                 1.0451,                 1.2499,              0.0058244,              0.0058244,              0.0058244
                     48,                0.70152,                0.81067,                  1.037,                 0.7101,                0.45031,                0.51295,                0.29167,                0.83603,                0.99474,                  1.226,              0.0056704,              0.0056704,              0.0056704
                     49,                 0.7031,                0.80848,                 1.0453,                0.70226,                 0.4264,                0.49752,                0.28408,                0.84767,                 1.0528,                 1.2273,              0.0055158,              0.0055158,              0.0055158
