                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2309,                 6.8757,                 1.4252,                0.64699,                0.13062,                0.09116,                0.04733,                 2.5535,                 2.9893,                 1.1057,               0.070008,              0.0033324,              0.0033324
                      2,                 3.1864,                 3.8347,                 1.3239,                0.50799,                0.13567,                0.10588,                0.04699,                 2.6424,                 2.9505,                  1.132,               0.039876,              0.0065338,              0.0065338
                      3,                 3.2626,                  3.928,                 1.3519,                0.46436,                0.08405,                0.06686,                0.02984,                  2.959,                 3.1886,                 1.2493,              0.0096121,              0.0096031,              0.0096031
                      4,                 3.3697,                  4.065,                 1.4046,                0.62263,                0.08509,                0.09429,                0.04596,                 2.8539,                 3.0406,                 1.2357,               0.009406,               0.009406,               0.009406
                      5,                 3.3256,                 3.9093,                 1.3706,                 0.4537,                 0.1192,                0.09164,                0.03708,                 2.9079,                 3.0037,                 1.2254,               0.009406,               0.009406,               0.009406
                      6,                 3.2439,                 3.6824,                 1.3333,                0.66906,                0.07973,                 0.1093,                0.04947,                 2.7924,                 2.8836,                 1.2002,               0.009208,               0.009208,               0.009208
                      7,                 3.1505,                 3.5271,                 1.3279,                0.66418,                0.16315,                0.17512,                0.07234,                 2.7153,                 2.7121,                 1.1643,                0.00901,                0.00901,                0.00901
                      8,                 3.0815,                 3.3309,                  1.298,                0.46528,                0.24757,                0.18188,                0.07503,                 2.6836,                 2.5918,                 1.1647,               0.008812,               0.008812,               0.008812
                      9,                 3.0196,                 3.2417,                 1.2718,                0.65284,                0.18903,                0.20257,                0.09479,                 2.6219,                 2.5617,                 1.1428,               0.008614,               0.008614,               0.008614
                     10,                 2.9325,                 3.0919,                 1.2443,                0.64206,                0.24978,                0.24941,                0.12386,                 2.4911,                 2.4101,                 1.1119,               0.008416,               0.008416,               0.008416
                     11,                 2.8898,                 2.9706,                 1.2311,                0.66852,                0.26846,                0.25969,                0.12731,                 2.4914,                 2.2649,                 1.1038,               0.008218,               0.008218,               0.008218
                     12,                 2.8606,                 2.9433,                 1.2273,                0.68638,                  0.242,                0.27862,                0.13961,                 2.4819,                 2.2285,                  1.092,                0.00802,                0.00802,                0.00802
                     13,                 2.8279,                 2.8494,                 1.2076,                0.59588,                0.29395,                0.30548,                0.15529,                 2.3973,                 2.1619,                 1.0955,               0.007822,               0.007822,               0.007822
                     14,                 2.7896,                 2.7988,                 1.1829,                0.61872,                 0.2857,                 0.2958,                0.15028,                  2.362,                 2.1319,                 1.0632,               0.007624,               0.007624,               0.007624
                     15,                 2.7546,                 2.7567,                 1.1831,                0.46135,                0.28848,                0.29798,                0.15456,                 2.3825,                  2.134,                 1.0616,               0.007426,               0.007426,               0.007426
                     16,                 2.7335,                 2.7434,                 1.1754,                 0.6243,                0.31077,                0.31298,                0.15668,                 2.4213,                 2.0914,                 1.0802,               0.007228,               0.007228,               0.007228
                     17,                 2.6824,                 2.6541,                 1.1558,                 0.6032,                0.29358,                0.31979,                0.15903,                 2.3542,                 2.0795,                 1.0551,                0.00703,                0.00703,                0.00703
                     18,                 2.6672,                 2.5743,                 1.1647,                0.64221,                0.34305,                0.33753,                0.17969,                 2.3294,                 1.9938,                 1.0532,               0.006832,               0.006832,               0.006832
                     19,                 2.6553,                 2.5356,                 1.1498,                0.52966,                0.34934,                 0.3457,                0.18766,                 2.3308,                 1.9895,                  1.072,               0.006634,               0.006634,               0.006634
                     20,                 2.6107,                 2.4606,                 1.1429,                0.72405,                0.31338,                0.35837,                0.18906,                 2.2928,                 2.0019,                 1.0466,               0.006436,               0.006436,               0.006436
                     21,                 2.5843,                 2.4385,                 1.1338,                0.58069,                0.35422,                0.36664,                0.19111,                 2.2304,                 1.9404,                 1.0366,               0.006238,               0.006238,               0.006238
                     22,                 2.5762,                 2.4452,                 1.1328,                0.58185,                0.34707,                0.36215,                0.20029,                 2.1909,                 1.9405,                 1.0449,                0.00604,                0.00604,                0.00604
                     23,                  2.557,                 2.3838,                 1.1325,                0.54644,                0.35759,                 0.3701,                 0.2009,                 2.1736,                  1.891,                 1.0196,               0.005842,               0.005842,               0.005842
                     24,                 2.5373,                 2.3567,                 1.1191,                 0.5776,                0.34255,                0.36714,                0.20369,                 2.1679,                 1.8475,                 1.0131,               0.005644,               0.005644,               0.005644
                     25,                    2.5,                  2.345,                 1.1124,                 0.5626,                0.34089,                0.38083,                0.21419,                 2.1395,                 1.8492,                 1.0084,               0.005446,               0.005446,               0.005446
                     26,                 2.4744,                 2.2675,                  1.111,                0.54313,                0.38977,                0.38093,                0.21349,                 2.1871,                 1.8133,                 1.0194,               0.005248,               0.005248,               0.005248
                     27,                 2.4378,                 2.2349,                 1.0968,                0.53499,                0.39697,                0.40771,                0.22631,                 2.1189,                 1.8089,                 1.0036,                0.00505,                0.00505,                0.00505
                     28,                 2.4263,                 2.2178,                 1.0999,                0.57778,                0.40721,                  0.414,                0.22791,                 2.1288,                 1.7755,                 1.0013,               0.004852,               0.004852,               0.004852
                     29,                 2.4484,                  2.211,                 1.0909,                0.64683,                0.35274,                0.40359,                0.22936,                 2.0862,                  1.807,                0.99668,               0.004654,               0.004654,               0.004654
                     30,                 2.3836,                 2.1576,                 1.0807,                0.49697,                0.39179,                0.40667,                0.23418,                 2.1394,                 1.7352,                 1.0083,               0.004456,               0.004456,               0.004456
                     31,                 2.3856,                 2.1497,                 1.0819,                0.56618,                0.41172,                 0.4298,                0.24847,                 2.1027,                 1.7566,                0.99158,               0.004258,               0.004258,               0.004258
                     32,                 2.3757,                 2.1271,                 1.0718,                0.59873,                0.40056,                0.42597,                0.25152,                 2.0419,                 1.7194,                0.98255,                0.00406,                0.00406,                0.00406
                     33,                 2.3352,                 2.0633,                 1.0709,                0.58148,                0.41779,                0.42333,                0.24521,                 2.0837,                 1.7242,                0.99044,               0.003862,               0.003862,               0.003862
                     34,                 2.3088,                 2.0023,                 1.0652,                0.61669,                0.40849,                0.41981,                0.24391,                 2.0705,                 1.6779,                 0.9891,               0.003664,               0.003664,               0.003664
                     35,                 2.3212,                 2.0069,                 1.0636,                0.59085,                0.41732,                0.43643,                0.25747,                 2.0707,                 1.6891,                 0.9956,               0.003466,               0.003466,               0.003466
                     36,                 2.3037,                 1.9956,                 1.0553,                0.53785,                0.40757,                0.42495,                0.25352,                  2.036,                 1.6829,                0.98227,               0.003268,               0.003268,               0.003268
                     37,                 2.2805,                 1.9805,                 1.0531,                0.54935,                0.41737,                 0.4355,                0.26303,                 2.0315,                 1.6772,                0.98279,                0.00307,                0.00307,                0.00307
                     38,                 2.2546,                 1.9448,                 1.0531,                0.55784,                0.40176,                0.42443,                0.25381,                  2.011,                 1.6735,                0.97858,               0.002872,               0.002872,               0.002872
                     39,                 2.2274,                 1.8763,                 1.0372,                0.59036,                0.42005,                0.43598,                0.25974,                 2.0211,                 1.6882,                0.97871,               0.002674,               0.002674,               0.002674
                     40,                 2.2417,                 1.8992,                 1.0454,                0.61186,                0.42302,                0.45318,                0.26926,                 2.0204,                 1.6372,                0.97809,               0.002476,               0.002476,               0.002476
                     41,                 2.1858,                 1.8433,                  1.039,                0.58038,                0.44391,                0.45955,                0.27823,                 2.0074,                 1.6281,                0.97352,               0.002278,               0.002278,               0.002278
                     42,                 2.2119,                 1.8681,                 1.0285,                0.58942,                0.42542,                0.45288,                0.27296,                 1.9931,                 1.6371,                0.96838,                0.00208,                0.00208,                0.00208
                     43,                 2.2038,                 1.8211,                 1.0358,                0.56709,                0.44715,                0.46174,                0.28287,                 1.9959,                 1.6031,                0.96995,               0.001882,               0.001882,               0.001882
                     44,                 2.1707,                 1.7942,                 1.0179,                0.59771,                0.45391,                0.46338,                0.28383,                 1.9723,                 1.6098,                0.96891,               0.001684,               0.001684,               0.001684
                     45,                  2.152,                 1.7703,                 1.0236,                0.61421,                0.43414,                0.46979,                 0.2875,                  1.972,                 1.6139,                0.96529,               0.001486,               0.001486,               0.001486
                     46,                 2.1302,                 1.7396,                 1.0157,                0.63745,                0.43257,                0.46802,                0.28725,                 1.9647,                 1.6011,                0.96684,               0.001288,               0.001288,               0.001288
                     47,                 2.1372,                 1.7367,                 1.0151,                0.60517,                0.44962,                0.47965,                0.29727,                 1.9581,                 1.5947,                0.96217,                0.00109,                0.00109,                0.00109
                     48,                 2.0943,                 1.6902,                 1.0107,                 0.6635,                0.43029,                0.47811,                0.29476,                 1.9667,                 1.5837,                0.96571,               0.000892,               0.000892,               0.000892
                     49,                 2.0956,                 1.6838,                 1.0031,                0.60167,                0.45453,                0.48037,                0.29551,                 1.9581,                 1.5924,                0.96664,               0.000694,               0.000694,               0.000694
                     50,                 2.0856,                 1.6808,                0.99903,                0.63268,                0.45504,                0.47491,                0.29265,                 1.9651,                 1.6079,                0.96426,               0.000496,               0.000496,               0.000496
