                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.253,                 1.4012,                 1.3079,                0.79608,                0.73271,                0.81548,                0.54551,                 1.1653,                 1.0899,                 1.3147,               0.006733,               0.006733,               0.006733
                     36,                  1.199,                  1.364,                  1.263,                0.80633,                0.75874,                0.83253,                0.56782,                 1.1292,                 1.0506,                 1.2991,               0.006634,               0.006634,               0.006634
                     37,                 1.1928,                 1.3659,                 1.2685,                0.78739,                0.74824,                0.80879,                0.54837,                  1.138,                 1.0724,                 1.3092,               0.006535,               0.006535,               0.006535
                     38,                 1.1765,                 1.3361,                 1.2674,                0.80856,                0.71938,                0.81271,                0.56009,                 1.1597,                 1.0264,                 1.3175,               0.006436,               0.006436,               0.006436
                     39,                 1.1726,                 1.2771,                  1.246,                0.77771,                0.72685,                0.82208,                0.56265,                 1.1312,                 1.0669,                 1.3229,               0.006337,               0.006337,               0.006337
                     40,                 1.1946,                 1.3216,                  1.264,                0.87475,                0.78716,                0.87902,                0.58731,                 1.1268,                0.95635,                 1.2911,               0.006238,               0.006238,               0.006238
                     41,                 1.1761,                 1.2655,                 1.2618,                0.79016,                0.77158,                0.82618,                0.57095,                 1.1056,                 1.0348,                 1.2655,               0.006139,               0.006139,               0.006139
                     42,                 1.1629,                 1.2792,                 1.2322,                0.87864,                0.69592,                0.82647,                0.56995,                 1.1367,                0.99844,                   1.27,                0.00604,                0.00604,                0.00604
                     43,                 1.1512,                 1.2658,                 1.2332,                0.81874,                0.74412,                0.83071,                0.56726,                 1.1069,                0.98562,                 1.2656,               0.005941,               0.005941,               0.005941
                     44,                 1.1398,                 1.2438,                  1.226,                0.84629,                0.76391,                0.84961,                0.58584,                 1.0985,                0.96154,                 1.2524,               0.005842,               0.005842,               0.005842
                     45,                 1.1448,                 1.1904,                 1.2333,                0.77387,                0.75266,                0.82517,                0.56611,                 1.1656,                0.97933,                 1.3308,               0.005743,               0.005743,               0.005743
                     46,                 1.1181,                 1.1897,                 1.2256,                0.85914,                0.73353,                 0.8341,                0.57168,                 1.1233,                 1.0217,                 1.2679,               0.005644,               0.005644,               0.005644
