                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1851,                 1.1993,                 1.2468,                0.85669,                0.78554,                0.86478,                0.59486,                 1.0975,                0.92278,                 1.3106,               0.006733,               0.006733,               0.006733
                     36,                 1.1305,                 1.1846,                 1.2219,                0.80962,                0.81584,                0.87221,                0.59566,                 1.0617,                0.89198,                 1.2701,               0.006634,               0.006634,               0.006634
                     37,                 1.1563,                 1.1914,                 1.2515,                0.89863,                0.78609,                0.88653,                0.60147,                 1.0514,                0.87664,                 1.2704,               0.006535,               0.006535,               0.006535
                     38,                 1.1068,                 1.1447,                 1.2095,                0.77231,                 0.8324,                0.85894,                0.56935,                 1.0626,                0.90854,                 1.2603,               0.006436,               0.006436,               0.006436
                     39,                 1.0985,                  1.122,                 1.2137,                0.81583,                0.80241,                0.86873,                0.59971,                 1.0509,                0.90547,                 1.2848,               0.006337,               0.006337,               0.006337
                     40,                  1.124,                 1.1415,                 1.2332,                0.80781,                0.83666,                0.88116,                0.59354,                  1.045,                0.86188,                 1.2583,               0.006238,               0.006238,               0.006238
                     41,                 1.1039,                 1.0977,                 1.2204,                0.82687,                 0.8391,                0.88133,                0.59649,                 1.0373,                0.86656,                  1.252,               0.006139,               0.006139,               0.006139
                     42,                 1.1003,                 1.1106,                  1.204,                0.84021,                0.83846,                0.88753,                0.59015,                 1.0656,                0.86348,                 1.2687,                0.00604,                0.00604,                0.00604
                     43,                 1.0769,                  1.078,                 1.2112,                0.87978,                0.82628,                0.89989,                0.61607,                 1.0548,                0.81961,                 1.2719,               0.005941,               0.005941,               0.005941
                     44,                 1.0581,                  1.002,                 1.1818,                0.86747,                0.80312,                0.86724,                0.59108,                 1.0533,                0.85331,                 1.2626,               0.005842,               0.005842,               0.005842
                     45,                  1.041,                 1.0331,                 1.1763,                0.86734,                0.82395,                0.89553,                0.62243,                 1.0226,                0.83489,                 1.2532,               0.005743,               0.005743,               0.005743
                     46,                 1.0235,                  0.997,                  1.168,                0.83664,                0.85366,                0.89338,                 0.6292,                 1.0033,                0.80376,                 1.2409,               0.005644,               0.005644,               0.005644
                     47,                 1.0464,                  1.032,                 1.1911,                0.85545,                0.81138,                0.89432,                0.63525,                 1.0004,                0.80956,                 1.2535,               0.005545,               0.005545,               0.005545
                     48,                 1.0505,                0.99756,                 1.1707,                0.87035,                0.82806,                0.89703,                0.63398,                 1.0393,                0.78482,                 1.2904,               0.005446,               0.005446,               0.005446
                     49,                 1.0469,                0.98243,                 1.1795,                0.88056,                0.82636,                0.90723,                0.62529,                 1.0144,                0.78987,                  1.228,               0.005347,               0.005347,               0.005347
                     50,                 1.0399,                0.97692,                 1.1752,                 0.8705,                0.84613,                0.90212,                 0.6151,                 1.0309,                0.76318,                 1.2641,               0.005248,               0.005248,               0.005248
                     51,                 1.0198,                0.96909,                 1.1655,                0.87592,                0.82436,                0.88547,                 0.6262,                 1.0095,                0.79227,                 1.2613,               0.005149,               0.005149,               0.005149
